iter	RMSE
0	3165.735033
1	2517.020885
2	2231.000788
3	2064.413254
4	1989.230119
5	1929.769482
6	1886.857018
7	1849.201227
8	1825.59743
9	1803.433323
10	1792.956154
11	1780.374167
12	1763.068396
13	1753.938012
14	1743.931225
15	1735.180582
16	1730.048474
17	1724.541283
18	1714.781591
19	1709.476837
20	1703.108041
21	1697.447302
22	1691.798065
23	1685.291761
24	1680.063684
25	1674.169755
26	1669.685497
27	1662.944183
28	1658.405264
29	1652.970632
30	1649.971386
31	1645.523346
32	1642.629955
33	1639.636368
34	1635.684162
35	1632.682858
36	1628.861766
37	1623.923854
38	1622.155705
39	1619.515867
40	1616.626264
41	1613.126841
42	1609.42764
43	1605.99486
44	1602.703367
45	1599.843177
46	1597.127373
47	1593.844086
48	1590.66852
49	1588.953491
50	1586.242843
51	1583.536032
52	1581.07185
53	1579.115038
54	1577.612064
55	1576.17697
56	1575.001789
57	1572.994187
58	1570.912252
59	1569.667618
60	1567.833114
61	1566.547692
62	1564.650641
63	1563.10607
64	1560.58441
65	1558.860582
66	1557.01605
67	1554.616369
68	1553.629105
69	1551.731881
70	1550.351877
71	1549.118575
72	1547.510124
73	1546.482246
74	1545.708565
75	1545.030606
76	1543.521482
77	1542.079315
78	1539.782763
79	1538.156844
80	1537.22521
81	1535.795251
82	1532.621462
83	1530.697607
84	1529.180753
85	1527.181704
86	1526.458738
87	1525.521008
88	1524.822055
89	1523.61492
90	1522.401097
91	1520.909149
92	1520.249112
93	1519.309498
94	1517.780077
95	1516.779415
96	1515.904465
97	1514.65558
98	1513.712175
99	1512.33139
100	1510.914287
101	1509.821959
102	1508.51535
103	1507.729508
104	1506.337666
105	1505.523771
106	1504.992592
107	1503.495218
108	1502.619563
109	1501.892998
110	1501.001739
111	1500.297602
112	1499.546452
113	1498.770537
114	1497.681892
115	1496.706894
116	1496.021442
117	1495.57653
118	1494.544284
119	1494.141301
120	1493.267711
121	1492.147734
122	1491.059886
123	1490.227031
124	1489.806528
125	1489.27307
126	1488.427218
127	1487.819613
128	1486.802954
129	1485.84971
130	1485.590737
131	1484.849806
132	1484.369435
133	1483.57766
134	1482.830494
135	1481.612742
136	1481.103863
137	1480.002361
138	1478.876634
139	1478.173384
140	1477.051032
141	1476.623386
142	1475.557919
143	1474.761297
144	1474.35149
145	1473.574854
146	1472.598303
147	1471.903759
148	1471.369884
149	1470.494754
150	1469.776815
151	1468.458578
152	1467.577338
153	1466.552723
154	1465.669864
155	1464.58553
156	1464.111207
157	1463.507472
158	1463.134856
159	1462.122909
160	1461.342233
161	1460.900783
162	1459.972877
163	1459.156628
164	1458.243586
165	1457.865912
166	1457.25768
167	1456.602228
168	1455.484268
169	1454.973177
170	1454.370696
171	1452.672279
172	1452.043772
173	1450.62741
174	1450.232657
175	1449.311
176	1448.368563
177	1448.127976
178	1447.312566
179	1446.568114
180	1446.230222
181	1445.525411
182	1444.617428
183	1443.83492
184	1443.162443
185	1442.33807
186	1441.546239
187	1440.933646
188	1440.306812
189	1439.518257
190	1439.172517
191	1438.279266
192	1437.706225
193	1437.02337
194	1436.521545
195	1436.036869
196	1435.563658
197	1435.269674
198	1434.351805
199	1433.876707
200	1433.154087
201	1432.542412
202	1431.996775
203	1431.284003
204	1430.580049
205	1430.233218
206	1429.638925
207	1429.024184
208	1428.634796
209	1427.894735
210	1427.431756
211	1427.112642
212	1426.414079
213	1425.998113
214	1425.666784
215	1425.428635
216	1424.810198
217	1424.478219
218	1423.963256
219	1423.598101
220	1422.88061
221	1422.432538
222	1421.688888
223	1421.167587
224	1420.847493
225	1419.934625
226	1419.297771
227	1418.955537
228	1418.687576
229	1418.230503
230	1417.621604
231	1417.180523
232	1416.525022
233	1415.976753
234	1415.282704
235	1414.940461
236	1414.709741
237	1414.165244
238	1413.56453
239	1413.344735
240	1413.009721
241	1412.186485
242	1411.703421
243	1410.925616
244	1410.497499
245	1410.192303
246	1409.573765
247	1409.141619
248	1408.59012
249	1408.134199
250	1407.565689
251	1407.110752
252	1406.497148
253	1405.833032
254	1405.011874
255	1404.531278
256	1403.936888
257	1403.404456
258	1402.950045
259	1402.359005
260	1401.94211
261	1401.473991
262	1401.155875
263	1400.328391
264	1400.012615
265	1399.519553
266	1398.821847
267	1398.415752
268	1398.09691
269	1397.518819
270	1397.081658
271	1396.847435
272	1396.558416
273	1396.142851
274	1395.783217
275	1395.03464
276	1394.516192
277	1393.958068
278	1393.469776
279	1393.161263
280	1392.652748
281	1392.098135
282	1391.38715
283	1391.353858
284	1390.865087
285	1390.41294
286	1390.001053
287	1389.789783
288	1389.545169
289	1389.161353
290	1388.444027
291	1387.971598
292	1387.57078
293	1387.092215
294	1386.738223
295	1386.303533
296	1385.594425
297	1385.403621
298	1385.221231
299	1384.804245
300	1384.46565
301	1384.168108
302	1383.850874
303	1383.479129
304	1383.1298
305	1382.74061
306	1382.331486
307	1381.603668
308	1381.099307
309	1380.838655
310	1380.368783
311	1379.983436
312	1379.647061
313	1379.565533
314	1379.32688
315	1379.072978
316	1378.915842
317	1378.532546
318	1378.386343
319	1377.992486
320	1377.755882
321	1377.213998
322	1376.745693
323	1376.214461
324	1375.917352
325	1374.966437
326	1374.657908
327	1374.336163
328	1373.727351
329	1373.224472
330	1372.978516
331	1372.584954
332	1372.154225
333	1371.432305
334	1371.187788
335	1370.863793
336	1370.656769
337	1370.449962
338	1370.023362
339	1369.579729
340	1369.131916
341	1368.841408
342	1368.459125
343	1368.191356
344	1367.770083
345	1367.438196
346	1366.861882
347	1366.315973
348	1366.003313
349	1365.627653
350	1365.32935
351	1364.926509
352	1364.650162
353	1364.258942
354	1364.073427
355	1363.804019
356	1363.451127
357	1363.126918
358	1363.126135
359	1362.733123
360	1362.401027
361	1362.114125
362	1362.036246
363	1361.701479
364	1361.342824
365	1360.89804
366	1360.540486
367	1360.072583
368	1359.502329
369	1359.182328
370	1358.838782
371	1358.53528
372	1358.319642
373	1357.923678
374	1357.729904
375	1357.473064
376	1357.247246
377	1356.965102
378	1356.664759
379	1356.420387
380	1356.023824
381	1355.702393
382	1355.386925
383	1355.125871
384	1354.848645
385	1354.63873
386	1354.282416
387	1354.090995
388	1353.753936
389	1353.436018
390	1353.053758
391	1352.737278
392	1352.350284
393	1352.163619
394	1351.637869
395	1351.247424
396	1351.104507
397	1350.880847
398	1350.620843
399	1350.41794
400	1350.110404
401	1349.693905
402	1349.378663
403	1348.957595
404	1348.696843
405	1348.494376
406	1348.018605
407	1347.872755
408	1347.540506
409	1347.449905
410	1347.340493
411	1347.071187
412	1346.641914
413	1346.272536
414	1346.17628
415	1345.573289
416	1345.306995
417	1345.040452
418	1344.597063
419	1343.991198
420	1343.819763
421	1343.562003
422	1343.232188
423	1342.944742
424	1342.4534
425	1342.182211
426	1341.767722
427	1341.618041
428	1341.352413
429	1341.171797
430	1341.001095
431	1340.854484
432	1340.235484
433	1339.814476
434	1339.722949
435	1339.361875
436	1338.815853
437	1338.413953
438	1338.015655
439	1337.65559
440	1337.464738
441	1337.049196
442	1336.491225
443	1335.871272
444	1335.486222
445	1335.343086
446	1334.870803
447	1334.651965
448	1334.332197
449	1333.989551
