iter	Passed	Remaining
0	11	5345
1	21	4794
2	29	4365
3	38	4256
4	45	4085
5	53	3992
6	62	3928
7	70	3884
8	78	3866
9	86	3823
10	94	3773
11	102	3749
12	110	3705
13	118	3705
14	127	3705
15	136	3694
16	144	3683
17	153	3679
18	162	3683
19	170	3666
20	179	3661
21	188	3661
22	197	3665
23	205	3639
24	215	3655
25	225	3672
26	234	3673
27	244	3688
28	253	3681
29	262	3669
30	269	3648
31	278	3636
32	286	3626
33	295	3617
34	304	3609
35	312	3598
36	320	3581
37	330	3583
38	338	3565
39	347	3560
40	357	3561
41	365	3551
42	374	3545
43	383	3539
44	392	3529
45	400	3521
46	410	3517
47	418	3508
48	426	3493
49	434	3475
50	444	3475
51	452	3466
52	463	3468
53	471	3456
54	479	3442
55	488	3434
56	497	3428
57	507	3426
58	515	3416
59	524	3406
60	532	3396
61	541	3390
62	550	3379
63	559	3372
64	568	3365
65	576	3356
66	586	3350
67	594	3336
68	602	3329
69	611	3319
70	620	3310
71	628	3297
72	635	3283
73	643	3271
74	652	3263
75	660	3249
76	671	3252
77	688	3282
78	696	3269
79	705	3260
80	714	3253
81	722	3243
82	732	3237
83	741	3231
84	750	3224
85	759	3214
86	767	3202
87	775	3191
88	785	3187
89	794	3177
90	803	3167
91	811	3157
92	820	3149
93	828	3138
94	838	3133
95	846	3121
96	855	3113
97	864	3106
98	874	3099
99	883	3092
100	892	3084
101	901	3075
102	909	3065
103	918	3054
104	926	3042
105	935	3036
106	944	3026
107	954	3022
108	963	3013
109	972	3006
110	981	2997
111	990	2988
112	998	2977
113	1006	2966
114	1014	2956
115	1023	2946
116	1030	2933
117	1038	2920
118	1046	2911
119	1055	2901
120	1063	2892
121	1071	2881
122	1080	2873
123	1088	2862
124	1096	2851
125	1104	2840
126	1112	2828
127	1121	2820
128	1130	2812
129	1138	2802
130	1147	2794
131	1155	2782
132	1164	2774
133	1173	2768
134	1183	2760
135	1191	2750
136	1199	2740
137	1209	2735
138	1218	2725
139	1228	2719
140	1237	2711
141	1246	2702
142	1254	2692
143	1263	2684
144	1271	2675
145	1280	2666
146	1289	2657
147	1298	2648
148	1306	2640
149	1316	2632
150	1323	2620
151	1332	2611
152	1341	2603
153	1351	2596
154	1359	2588
155	1368	2578
156	1376	2569
157	1386	2561
158	1394	2552
159	1403	2544
160	1413	2536
161	1422	2529
162	1431	2520
163	1440	2511
164	1449	2503
165	1457	2493
166	1466	2484
167	1474	2474
168	1483	2466
169	1491	2456
170	1500	2447
171	1509	2439
172	1517	2429
173	1526	2421
174	1535	2412
175	1545	2405
176	1554	2396
177	1562	2387
178	1569	2376
179	1579	2369
180	1587	2359
181	1596	2350
182	1605	2341
183	1614	2333
184	1623	2325
185	1632	2316
186	1640	2307
187	1648	2298
188	1657	2289
189	1667	2281
190	1675	2272
191	1685	2264
192	1693	2255
193	1703	2247
194	1711	2238
195	1720	2229
196	1728	2219
197	1736	2210
198	1744	2200
199	1754	2193
200	1763	2184
201	1771	2175
202	1779	2165
203	1789	2158
204	1799	2150
205	1808	2141
206	1817	2133
207	1826	2125
208	1834	2115
209	1842	2105
210	1851	2097
211	1860	2088
212	1869	2080
213	1878	2071
214	1887	2062
215	1895	2052
216	1903	2044
217	1912	2035
218	1920	2025
219	1929	2017
220	1937	2008
221	1946	1998
222	1954	1989
223	1963	1981
224	1972	1972
225	1981	1964
226	1990	1955
227	2000	1947
228	2007	1937
229	2015	1927
230	2024	1919
231	2033	1911
232	2043	1902
233	2052	1894
234	2061	1886
235	2074	1881
236	2083	1872
237	2092	1863
238	2100	1854
239	2108	1845
240	2117	1836
241	2125	1827
242	2134	1818
243	2144	1810
244	2152	1801
245	2161	1792
246	2169	1783
247	2177	1774
248	2186	1765
249	2195	1756
250	2203	1747
251	2211	1737
252	2221	1729
253	2229	1720
254	2239	1712
255	2248	1704
256	2257	1695
257	2266	1686
258	2275	1677
259	2284	1669
260	2293	1660
261	2302	1651
262	2310	1643
263	2319	1634
264	2328	1625
265	2338	1617
266	2346	1608
267	2355	1599
268	2363	1590
269	2372	1581
270	2381	1573
271	2390	1564
272	2407	1560
273	2423	1556
274	2437	1550
275	2449	1544
276	2459	1536
277	2467	1526
278	2476	1517
279	2484	1508
280	2493	1499
281	2502	1490
282	2511	1482
283	2519	1472
284	2528	1464
285	2537	1455
286	2545	1445
287	2553	1436
288	2562	1427
289	2571	1418
290	2581	1410
291	2590	1401
292	2599	1392
293	2608	1383
294	2616	1375
295	2626	1366
296	2636	1357
297	2644	1348
298	2652	1339
299	2660	1330
300	2669	1321
301	2678	1312
302	2689	1304
303	2698	1295
304	2707	1287
305	2716	1278
306	2724	1269
307	2732	1259
308	2742	1251
309	2752	1242
310	2760	1233
311	2769	1224
312	2778	1216
313	2786	1206
314	2793	1197
315	2802	1188
316	2810	1179
317	2818	1170
318	2828	1161
319	2837	1152
320	2847	1144
321	2855	1135
322	2863	1126
323	2873	1117
324	2881	1108
325	2891	1099
326	2900	1090
327	2909	1082
328	2918	1073
329	2926	1064
330	2935	1055
331	2944	1046
332	2954	1038
333	2963	1029
334	2972	1020
335	2980	1011
336	2988	1002
337	2996	992
338	3006	984
339	3014	975
340	3023	966
341	3032	957
342	3040	948
343	3049	939
344	3058	930
345	3066	921
346	3076	913
347	3084	904
348	3093	895
349	3102	886
350	3110	877
351	3119	868
352	3127	859
353	3137	850
354	3145	841
355	3155	833
356	3164	824
357	3173	815
358	3178	805
359	3187	796
360	3195	787
361	3205	779
362	3213	770
363	3221	761
364	3229	752
365	3240	743
366	3248	734
367	3256	725
368	3267	717
369	3275	708
370	3283	699
371	3292	690
372	3302	681
373	3311	672
374	3320	664
375	3329	655
376	3338	646
377	3349	637
378	3358	629
379	3367	620
380	3377	611
381	3387	603
382	3397	594
383	3406	585
384	3416	576
385	3424	567
386	3433	559
387	3442	550
388	3451	541
389	3461	532
390	3470	523
391	3480	514
392	3490	506
393	3498	497
394	3508	488
395	3518	479
396	3527	470
397	3535	461
398	3544	453
399	3553	444
400	3563	435
401	3573	426
402	3581	417
403	3591	408
404	3601	400
405	3609	391
406	3619	382
407	3628	373
408	3637	364
409	3645	355
410	3654	346
411	3663	337
412	3673	329
413	3682	320
414	3691	311
415	3700	302
416	3710	293
417	3718	284
418	3729	275
419	3739	267
420	3748	258
421	3757	249
422	3768	240
423	3777	231
424	3787	222
425	3795	213
426	3805	204
427	3814	196
428	3823	187
429	3831	178
430	3839	169
431	3847	160
432	3856	151
433	3865	142
434	3873	133
435	3883	124
436	3893	115
437	3902	106
438	3911	98
439	3920	89
440	3928	80
441	3937	71
442	3946	62
443	3956	53
444	3966	44
445	3974	35
446	3984	26
447	3992	17
448	4000	8
449	4009	0
