iter	Passed	Remaining
0	4	4600
1	8	4436
2	14	4711
3	19	4833
4	25	5040
5	31	5187
6	36	5116
7	42	5252
8	47	5276
9	53	5290
10	57	5212
11	64	5332
12	70	5319
13	75	5344
14	80	5276
15	85	5236
16	90	5231
17	96	5240
18	102	5317
19	107	5271
20	113	5286
21	118	5254
22	122	5198
23	128	5227
24	132	5185
25	137	5169
26	144	5192
27	149	5200
28	154	5187
29	160	5195
30	165	5177
31	170	5162
32	176	5167
33	182	5171
34	186	5148
35	192	5148
36	197	5130
37	201	5103
38	206	5087
39	212	5105
40	217	5089
41	222	5083
42	228	5093
43	233	5070
44	238	5066
45	244	5072
46	249	5052
47	253	5024
48	258	5024
49	263	5013
50	266	4956
51	271	4950
52	277	4949
53	281	4926
54	285	4913
55	291	4914
56	296	4909
57	301	4900
58	306	4890
59	311	4874
60	315	4864
61	320	4852
62	326	4850
63	328	4806
64	331	4767
65	334	4740
66	337	4704
67	341	4679
68	344	4641
69	346	4607
70	349	4571
71	351	4536
72	354	4504
73	357	4475
74	360	4441
75	362	4408
76	365	4376
77	367	4346
78	370	4317
79	372	4287
80	375	4260
81	378	4233
82	380	4206
83	383	4179
84	385	4153
85	388	4127
86	390	4101
87	393	4077
88	396	4053
89	398	4029
90	401	4007
91	403	3987
92	406	3964
93	409	3947
94	412	3928
95	415	3907
96	417	3887
97	420	3868
98	422	3847
99	425	3829
100	427	3809
101	430	3790
102	433	3772
103	435	3754
104	438	3736
105	441	3720
106	443	3703
107	446	3685
108	448	3670
109	451	3653
110	454	3637
111	456	3622
112	459	3607
113	462	3592
114	465	3578
115	467	3563
116	470	3548
117	473	3536
118	475	3521
119	478	3507
120	481	3495
121	483	3481
122	486	3467
123	489	3455
124	491	3441
125	494	3427
126	496	3415
127	499	3402
128	502	3390
129	504	3378
130	507	3367
131	510	3354
132	513	3345
133	515	3333
134	518	3321
135	521	3310
136	523	3298
137	526	3286
138	529	3277
139	531	3267
140	534	3255
141	537	3245
142	539	3234
143	542	3223
144	545	3217
145	548	3206
146	550	3196
147	555	3195
148	559	3197
149	564	3196
150	568	3198
151	573	3199
152	579	3206
153	585	3214
154	590	3219
155	595	3220
156	601	3227
157	607	3235
158	612	3239
159	618	3248
160	624	3253
161	629	3253
162	634	3257
163	640	3263
164	646	3272
165	651	3271
166	656	3276
167	663	3283
168	669	3291
169	675	3297
170	681	3302
171	687	3309
172	693	3316
173	697	3313
174	703	3315
175	708	3315
176	715	3325
177	720	3328
178	727	3334
179	732	3335
180	738	3340
181	743	3342
182	748	3342
183	754	3344
184	760	3348
185	766	3353
186	772	3356
187	777	3357
188	782	3359
189	789	3364
190	794	3366
191	800	3369
192	807	3374
193	812	3375
194	817	3375
195	823	3379
196	829	3379
197	835	3385
198	841	3387
199	848	3394
200	854	3397
201	860	3399
202	865	3399
203	872	3402
204	877	3404
205	883	3403
206	889	3408
207	895	3409
208	901	3410
209	905	3406
210	911	3408
211	916	3406
212	922	3408
213	927	3405
214	932	3405
215	937	3403
216	943	3403
217	947	3400
218	954	3403
219	959	3402
220	965	3402
221	972	3406
222	976	3403
223	981	3400
224	987	3400
225	992	3398
226	999	3403
227	1004	3401
228	1010	3402
229	1016	3401
230	1022	3402
231	1027	3401
232	1032	3400
233	1039	3401
234	1044	3398
235	1050	3401
236	1056	3402
237	1062	3400
238	1068	3400
239	1073	3399
240	1078	3397
241	1086	3403
242	1092	3404
243	1098	3403
244	1104	3402
245	1109	3400
246	1114	3396
247	1119	3394
248	1124	3392
249	1129	3387
250	1132	3378
251	1135	3369
252	1138	3360
253	1141	3353
254	1144	3343
255	1148	3338
256	1151	3330
257	1155	3322
258	1158	3313
259	1161	3304
260	1163	3295
261	1166	3286
262	1169	3277
263	1172	3268
264	1174	3258
265	1177	3249
266	1180	3240
267	1183	3231
268	1186	3223
269	1188	3214
270	1191	3205
271	1194	3197
272	1197	3188
273	1200	3180
274	1202	3171
275	1205	3162
276	1208	3153
277	1211	3145
278	1213	3137
279	1216	3128
280	1219	3120
281	1222	3112
282	1225	3105
283	1229	3100
284	1232	3092
285	1237	3088
286	1242	3087
287	1247	3084
288	1253	3085
289	1259	3084
290	1265	3084
291	1271	3083
292	1277	3083
293	1284	3083
294	1290	3083
295	1294	3079
296	1301	3080
297	1307	3080
298	1313	3078
299	1319	3078
300	1324	3076
301	1331	3076
302	1338	3077
303	1345	3080
304	1351	3079
305	1357	3078
306	1363	3078
307	1370	3079
308	1376	3079
309	1381	3076
310	1388	3075
311	1393	3073
312	1401	3076
313	1406	3072
314	1412	3071
315	1419	3072
316	1426	3073
317	1432	3072
318	1438	3070
319	1444	3068
320	1450	3067
321	1457	3068
322	1463	3068
323	1468	3064
324	1476	3066
325	1482	3065
326	1490	3066
327	1496	3065
328	1502	3064
329	1509	3063
330	1515	3063
331	1522	3062
332	1528	3060
333	1534	3058
334	1538	3054
335	1545	3053
336	1551	3051
337	1557	3050
338	1564	3049
339	1570	3048
340	1575	3045
341	1582	3043
342	1592	3050
343	1599	3049
344	1605	3047
345	1611	3045
346	1617	3043
347	1624	3043
348	1629	3039
349	1635	3037
350	1641	3036
351	1648	3034
352	1654	3032
353	1660	3029
354	1666	3027
355	1673	3027
356	1679	3025
357	1685	3023
358	1692	3021
359	1699	3020
360	1706	3019
361	1711	3017
362	1718	3015
363	1723	3011
364	1730	3010
365	1736	3008
366	1742	3005
367	1747	3000
368	1753	2997
369	1758	2994
370	1765	2992
371	1771	2990
372	1778	2989
373	1784	2987
374	1791	2985
375	1797	2983
376	1803	2980
377	1809	2977
378	1814	2973
379	1821	2972
380	1828	2971
381	1836	2970
382	1843	2969
383	1849	2967
384	1854	2963
385	1861	2960
386	1868	2959
387	1873	2955
388	1881	2955
389	1888	2954
390	1894	2951
391	1900	2948
392	1905	2943
393	1911	2940
394	1918	2938
395	1925	2936
396	1932	2935
397	1937	2930
398	1943	2927
399	1949	2923
400	1954	2920
401	1958	2913
402	1961	2906
403	1965	2899
404	1968	2891
405	1971	2884
406	1975	2878
407	1978	2871
408	1983	2866
409	1986	2858
410	1989	2850
411	1992	2843
412	1995	2836
413	1998	2828
414	2001	2821
415	2004	2813
416	2007	2806
417	2010	2798
418	2013	2791
419	2015	2783
420	2018	2776
421	2021	2769
422	2024	2761
423	2027	2754
424	2030	2746
425	2033	2739
426	2036	2732
427	2038	2724
428	2041	2717
429	2044	2710
430	2047	2703
431	2050	2696
432	2053	2689
433	2056	2682
434	2059	2675
435	2062	2668
436	2065	2661
437	2068	2654
438	2071	2647
439	2074	2640
440	2077	2633
441	2080	2626
442	2083	2619
443	2086	2612
444	2089	2605
445	2092	2599
446	2095	2592
447	2098	2585
448	2101	2578
449	2104	2571
450	2106	2564
451	2112	2561
452	2116	2556
453	2119	2549
454	2122	2542
455	2125	2535
456	2128	2529
457	2135	2526
458	2139	2521
459	2143	2516
460	2148	2511
461	2152	2506
462	2156	2500
463	2158	2493
464	2162	2487
465	2165	2481
466	2168	2474
467	2171	2467
468	2174	2461
469	2176	2454
470	2179	2448
471	2183	2442
472	2186	2435
473	2189	2429
474	2193	2423
475	2196	2417
476	2198	2410
477	2201	2404
478	2204	2397
479	2207	2391
480	2210	2385
481	2213	2378
482	2216	2372
483	2219	2366
484	2222	2359
485	2225	2353
486	2228	2347
487	2231	2341
488	2234	2335
489	2237	2329
490	2240	2322
491	2243	2316
492	2246	2310
493	2249	2304
494	2252	2297
495	2255	2291
496	2258	2285
497	2261	2279
498	2264	2273
499	2267	2267
500	2270	2261
501	2273	2255
502	2276	2249
503	2279	2243
504	2282	2237
505	2285	2231
506	2288	2225
507	2291	2219
508	2294	2213
509	2297	2207
510	2300	2201
511	2303	2195
512	2306	2189
513	2309	2183
514	2312	2177
515	2315	2172
516	2318	2166
517	2321	2160
518	2324	2154
519	2327	2148
520	2330	2142
521	2333	2136
522	2336	2131
523	2339	2125
524	2343	2119
525	2345	2113
526	2348	2108
527	2351	2102
528	2354	2096
529	2358	2091
530	2361	2085
531	2364	2079
532	2368	2074
533	2371	2069
534	2376	2065
535	2381	2061
536	2386	2057
537	2392	2054
538	2398	2051
539	2405	2049
540	2411	2046
541	2419	2044
542	2426	2041
543	2431	2038
544	2439	2036
545	2445	2033
546	2452	2031
547	2459	2028
548	2465	2025
549	2473	2023
550	2479	2020
551	2485	2017
552	2495	2017
553	2502	2014
554	2513	2015
555	2520	2012
556	2529	2011
557	2538	2010
558	2548	2010
559	2552	2005
560	2560	2003
561	2567	2000
562	2576	1999
563	2582	1996
564	2588	1993
565	2595	1990
566	2602	1987
567	2609	1985
568	2616	1981
569	2621	1977
570	2628	1975
571	2635	1972
572	2643	1970
573	2649	1966
574	2655	1962
575	2661	1959
576	2667	1955
577	2673	1951
578	2680	1949
579	2687	1946
580	2694	1943
581	2701	1940
582	2707	1936
583	2713	1932
584	2720	1929
585	2725	1925
586	2731	1922
587	2738	1918
588	2744	1914
589	2751	1911
590	2757	1908
591	2763	1904
592	2769	1900
593	2776	1897
594	2782	1893
595	2788	1890
596	2795	1886
597	2802	1883
598	2808	1880
599	2814	1876
600	2820	1872
601	2825	1867
602	2831	1864
603	2837	1860
604	2844	1856
605	2850	1853
606	2857	1849
607	2863	1846
608	2869	1842
609	2874	1837
610	2880	1834
611	2886	1830
612	2892	1826
613	2899	1822
614	2905	1819
615	2911	1815
616	2917	1811
617	2923	1807
618	2930	1803
619	2937	1800
620	2943	1796
621	2948	1791
622	2954	1788
623	2960	1783
624	2966	1779
625	2971	1775
626	2978	1771
627	2983	1767
628	2988	1762
629	2993	1758
630	2998	1753
631	3003	1748
632	3006	1742
633	3010	1737
634	3014	1732
635	3017	1726
636	3020	1721
637	3023	1715
638	3026	1709
639	3029	1704
640	3032	1698
641	3035	1692
642	3038	1687
643	3041	1681
644	3044	1675
645	3047	1669
646	3050	1664
647	3053	1658
648	3056	1652
649	3059	1647
650	3062	1641
651	3065	1636
652	3068	1630
653	3071	1625
654	3074	1619
655	3078	1614
656	3080	1608
657	3083	1602
658	3086	1597
659	3089	1591
660	3093	1586
661	3096	1580
662	3099	1575
663	3102	1569
664	3105	1564
665	3108	1558
666	3111	1553
667	3114	1547
668	3117	1542
669	3120	1537
670	3124	1531
671	3127	1526
672	3129	1520
673	3133	1515
674	3136	1509
675	3138	1504
676	3141	1498
677	3144	1493
678	3147	1488
679	3150	1482
680	3153	1477
681	3156	1471
682	3161	1467
683	3164	1461
684	3166	1456
685	3169	1450
686	3172	1445
687	3175	1440
688	3178	1434
689	3180	1429
690	3183	1423
691	3186	1418
692	3189	1413
693	3192	1407
694	3195	1402
695	3198	1396
696	3200	1391
697	3203	1386
698	3206	1380
699	3209	1375
700	3212	1370
701	3215	1364
702	3217	1359
703	3220	1354
704	3223	1348
705	3226	1343
706	3229	1338
707	3232	1333
708	3235	1327
709	3238	1322
710	3241	1317
711	3244	1312
712	3246	1306
713	3249	1301
714	3252	1296
715	3255	1291
716	3258	1285
717	3260	1280
718	3263	1275
719	3266	1270
720	3269	1265
721	3272	1259
722	3275	1254
723	3277	1249
724	3280	1244
725	3283	1239
726	3286	1234
727	3289	1228
728	3292	1223
729	3294	1218
730	3297	1213
731	3300	1208
732	3303	1203
733	3306	1198
734	3309	1193
735	3312	1188
736	3315	1183
737	3318	1177
738	3321	1172
739	3324	1167
740	3326	1162
741	3330	1157
742	3332	1152
743	3335	1147
744	3338	1142
745	3341	1137
746	3345	1132
747	3347	1127
748	3350	1122
749	3353	1117
750	3356	1112
751	3359	1107
752	3361	1102
753	3364	1097
754	3367	1092
755	3370	1087
756	3372	1082
757	3375	1077
758	3378	1072
759	3381	1067
760	3384	1062
761	3387	1057
762	3389	1052
763	3393	1048
764	3396	1043
765	3398	1038
766	3401	1033
767	3404	1028
768	3407	1023
769	3410	1018
770	3413	1013
771	3416	1008
772	3419	1004
773	3422	999
774	3426	994
775	3431	990
776	3436	986
777	3439	981
778	3444	977
779	3448	972
780	3453	968
781	3457	963
782	3460	959
783	3465	954
784	3469	950
785	3474	946
786	3478	941
787	3483	937
788	3486	932
789	3491	928
790	3494	923
791	3499	919
792	3503	914
793	3508	910
794	3514	906
795	3520	902
796	3525	897
797	3530	893
798	3533	888
799	3538	884
800	3544	880
801	3555	877
802	3561	873
803	3568	869
804	3572	865
805	3576	860
806	3580	856
807	3587	852
808	3591	847
809	3596	843
810	3599	838
811	3602	834
812	3605	829
813	3607	824
814	3610	819
815	3613	814
816	3616	810
817	3619	805
818	3621	800
819	3624	795
820	3627	790
821	3630	786
822	3633	781
823	3636	776
824	3639	771
825	3641	767
826	3644	762
827	3647	757
828	3649	752
829	3652	748
830	3656	743
831	3658	738
832	3661	734
833	3666	729
834	3669	725
835	3672	720
836	3674	715
837	3677	710
838	3680	706
839	3683	701
840	3686	696
841	3689	692
842	3691	687
843	3695	683
844	3698	678
845	3701	673
846	3704	669
847	3707	664
848	3709	659
849	3712	655
850	3715	650
851	3718	645
852	3720	641
853	3723	636
854	3726	632
855	3729	627
856	3732	622
857	3735	618
858	3739	613
859	3744	609
860	3750	605
861	3756	601
862	3764	597
863	3770	593
864	3778	589
865	3787	586
866	3794	582
867	3800	577
868	3804	573
869	3811	569
870	3815	565
871	3821	560
872	3824	556
873	3828	551
874	3832	547
875	3836	543
876	3839	538
877	3844	534
878	3848	529
879	3852	525
880	3856	520
881	3861	516
882	3866	512
883	3869	507
884	3873	503
885	3877	498
886	3881	494
887	3884	489
888	3888	485
889	3893	481
890	3900	477
891	3904	472
892	3907	468
893	3912	463
894	3915	459
895	3920	455
896	3924	450
897	3929	446
898	3932	441
899	3938	437
900	3942	433
901	3947	428
902	3955	424
903	3958	420
904	3961	415
905	3964	411
906	3969	406
907	3971	402
908	3974	397
909	3977	393
910	3979	388
911	3982	384
912	3985	379
913	3987	375
914	3992	370
915	3995	366
916	3997	361
917	4000	357
918	4003	352
919	4008	348
920	4010	344
921	4015	339
922	4018	335
923	4022	330
924	4025	326
925	4029	322
926	4033	317
927	4036	313
928	4040	308
929	4043	304
930	4047	300
931	4050	295
932	4053	291
933	4056	286
934	4059	282
935	4062	277
936	4065	273
937	4067	268
938	4070	264
939	4073	259
940	4076	255
941	4078	251
942	4081	246
943	4084	242
944	4087	237
945	4089	233
946	4092	229
947	4095	224
948	4098	220
949	4101	215
950	4103	211
951	4106	207
952	4109	202
953	4111	198
954	4115	193
955	4118	189
956	4120	185
957	4123	180
958	4125	176
959	4128	172
960	4131	167
961	4134	163
962	4136	158
963	4139	154
964	4142	150
965	4144	145
966	4147	141
967	4149	137
968	4152	132
969	4155	128
970	4158	124
971	4161	119
972	4163	115
973	4166	111
974	4169	106
975	4172	102
976	4175	98
977	4177	93
978	4180	89
979	4183	85
980	4186	81
981	4189	76
982	4191	72
983	4194	68
984	4197	63
985	4199	59
986	4202	55
987	4205	51
988	4208	46
989	4210	42
990	4213	38
991	4216	34
992	4218	29
993	4221	25
994	4224	21
995	4227	16
996	4230	12
997	4233	8
998	4235	4
999	4238	0
